,Prot_list
849,WDR33
850,PIGK
851,RNF5
852,RFX1
853,OVCA2
854,RBM5
855,SPTBN4
856,SUN2
857,UBXN4
858,PRPF4B
859,ACTN4
860,SRPRB
861,CRIP2
862,HEXA
863,STX8
864,RAB1A
865,ZNF217
866,TIAL1
867,GSS
868,DR1
869,SLC29A1
870,EVPL
871,CCDC58
872,NPM1
873,ECT2
874,TMX2
875,CSTF3
876,SAMD9
877,CHMP1A
878,NBAS
879,WDR37
880,RETSAT
881,DCBLD2
882,EHD4
883,PPP2R2B
884,PTK7
885,ATP13A1
886,MT-CO2
887,UTP23
888,ARL1
889,KRR1
890,ZDHHC5
891,CWC22
892,PNISR
893,RBFA
894,EMC2
895,WRAP53
896,CDKN2AIP
897,PLOD1
898,LCLAT1
899,PFKFB2
900,NCS1
901,BIN1
902,SHC1
903,SCAMP4
904,GATM
905,GTF2H4
906,IDH1
907,SIPA1L1
908,GPATCH1
909,PRKAR1B
910,TRIM14
911,FLYWCH2
912,ABHD16A
913,MPHOSPH8
914,NAMPT
915,EBNA1BP2
916,RAB9A
917,PLAUR
918,RBM23
919,EPB41L3
920,RPL30
921,NGDN
922,TPMT
923,TCOF1
924,CA2
925,USP48
926,SUN1
927,NEBL
928,PPIH
929,EPN2
930,SACM1L
931,COX7C
932,ACOX1
933,QTRT1
934,LLGL1
935,SEPHS2
936,RHOT1
937,VCP
938,APOOL
939,LEMD3
940,STX17
941,NOC2L
942,ENDOG
943,UBN1
944,RRAS2
945,RPL38
946,QRSL1
947,PCCA
948,PHLDB2
949,FCHO2
950,CHD5
951,AMOTL2
952,UBL5
953,POM121
954,CASP4
955,NVL
956,CPT1A
957,AGRN
958,MYCBP
959,TES
960,PDK3
961,HRAS
962,FOSL2
963,WDR76
964,MRPS15
965,SARM1
966,CPD
967,HMGA1
968,CDC42EP1
969,OSBPL3
970,SREK1
971,SMIM12
972,FNBP1L
